,Source,Target
3866,Blockchain Capital,Aave
3881,Rakuten,Azimo
3936,SoftBank,Fair
3941,FundersClub,Go1
3983,AngelList,Chingari
3996,Visa,ChargeAfter
4002,Twilio,Algolia
4007,Shopify,Flexport
4022,ArcTern Ventures,Emitwise
4032,JCDecaux,Eurazeo
4035,SoftBank,ada
4037,Adobe,Demandbase
4042,500 Startups,BillionToOne
4052,Digital Currency Group,BitPay
4057,NewSpring,ExecOnline
4067,Animoca Brands,Community Gaming
4077,500 Startups,Blavity
4087,Navi Technologies,Bounce
4127,Splunk,Aclima
4137,Rakuten,Carousell
4147,Eurazeo,Dataiku
4170,BlockTower Capital,Enjin
4187,Digital Currency Group,Figure
4202,Digital Currency Group,Abra
4212,Roche,Freenome
4231,Northern Arc,Aye Finance
4236,Animoca Brands,bitsCrunch
4261,SoftBank,Bear Robotics
4266,8VC,Affinity
4298,Berkshire Hathaway,Aon plc
4309,Techstars,Dapio
4324,8VC,Evernow
4332,Silver Lake,Foursquare
4351,Rocket Internet,Goodlord
4356,500 Startups,Funding Societies
4396,Techstars,ClassPass
4416,GirnarSoft,CollegeDekho
4426,Techstars,EnrichHER
4441,Techstars,Gig Wage
4446,gener8tor,Fiveable
4461,Global Ventures,Altibbi
4466,Huobi,Boba Network
4481,Apple,Corning
4493,Tencent,Blockstream
4498,Nazara Technologies,BITKRAFT Ventures
4499,Animoca Brands,ConsenSys
4509,Techstars,Arweave
4519,Citi,Advantage Capital
4525,Coinbase,Dfns
4535,Garage Capital,Astranis
4560,SoftBank,Clip
4565,HNA Group,Deutsche Bank
4573,DFINITY,Functionland
4583,Techstars,Arena.im
4588,EquityZen,Adaptive Biotechnologies
4626,Latitud,Datanomik
4651,Team8,Cyberpion
4659,8VC,BlueVoyant
4664,Earlybird Venture Capital,Carto
4679,SeedInvest,Firefly Aerospace
4689,Microsoft,DNAnexus
4708,Google,Glance
4735,Golub Capital,E2open
4736,Microsoft,Cruise
4741,NewLake Capital Partners,Columbia Care
4766,SAP,Alchemist Accelerator
4793,Silver Lake,AMC Theatres
4796,Tencent,Farfetch
4818,Tencent,Didi
4845,SoftBank,Alibaba Group
4859,Slack,Electric
4864,IONIQ,finleap
4877,Naver,Emtek Group
4895,Galaxy Digital,Argo Blockchain
4902,American Axle & Manufacturing,Autotech Ventures
4910,CRED,CredAvenue
4916,Ripple,Coil
4923,Apple,Adobe
4944,October,Engie
